Duration,Total_Stops,Date_of_Journey_month,Date_of_Journey_day,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Price
135,0,6,6,9,45,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3543
810,2,5,21,5,30,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13029
660,1,3,24,21,10,8,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14231
790,1,9,6,7,10,20,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9555
170,0,1,3,22,20,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11934
180,0,12,5,19,50,22,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7229
85,0,3,27,21,20,22,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2227
440,1,9,4,6,0,13,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8323
315,1,3,4,15,5,20,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4649
165,0,3,5,11,10,13,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4483
505,2,6,24,20,0,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12410
1500,1,5,21,17,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14151
1165,1,3,27,9,0,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12242
1595,1,5,18,20,0,22,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10844
465,1,5,27,11,30,19,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15898
2295,2,12,6,5,0,19,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9443
455,1,6,15,11,25,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10877
180,0,5,24,7,10,10,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4030
620,1,6,27,2,15,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10262
480,1,6,27,17,30,1,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13377
450,1,3,27,8,0,15,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12537
90,0,5,21,6,25,7,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4049
