Airline,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Price,Date_of_Journey_month,Date_of_Journey_day,Source_Airport,Destination_Airport,Destination_Airport_lat,Source_Airport_long,Destination_Airport_lat,Destination_Airport_long,flight_distance
IndiGo,Banglore,New Delhi,22:20,01:10 22 Mar,2h 50m,non-stop,3897,3,24,Kempegowda International Airport,Indira Gandhi International Airport,13.1986348,77.7065928,28.5561624,77.0999578,1708.831798512529
Air India,Kolkata,Banglore,05:50,13:15,7h 25m,2 stops,7662,1,5,Netaji Subhas Chandra Bose International Airport,Kempegowda International Airport,22.6531496,88.4448719,13.1986348,77.7065928,1546.505336564626
Jet Airways,New Delhi,Cochin,09:25,04:25 10 Jun,19h,2 stops,13882,9,6,Indira Gandhi International Airport,Cochin International Airport,28.5561624,77.0999578,10.1517834,76.392958,2047.801393167946
IndiGo,Kolkata,Banglore,18:05,23:30,5h 25m,1 stop,6218,12,5,Netaji Subhas Chandra Bose International Airport,Kempegowda International Airport,22.6531496,88.4448719,13.1986348,77.7065928,1546.505336564626
IndiGo,Banglore,New Delhi,16:50,21:35,4h 45m,1 stop,13302,1,3,Kempegowda International Airport,Indira Gandhi International Airport,13.1986348,77.7065928,28.5561624,77.0999578,1708.831798512529
SpiceJet,Kolkata,Banglore,09:00,11:25,2h 25m,non-stop,3873,6,24,Netaji Subhas Chandra Bose International Airport,Kempegowda International Airport,22.6531496,88.4448719,13.1986348,77.7065928,1546.505336564626
Jet Airways,Banglore,New Delhi,18:55,10:25 13 Mar,15h 30m,1 stop,11087,12,3,Kempegowda International Airport,Indira Gandhi International Airport,13.1986348,77.7065928,28.5561624,77.0999578,1708.831798512529
Jet Airways,Banglore,New Delhi,08:00,05:05 02 Mar,21h 5m,1 stop,22270,1,3,Kempegowda International Airport,Indira Gandhi International Airport,13.1986348,77.7065928,28.5561624,77.0999578,1708.831798512529
Jet Airways,Banglore,New Delhi,08:55,10:25 13 Mar,25h 30m,1 stop,11087,12,3,Kempegowda International Airport,Indira Gandhi International Airport,13.1986348,77.7065928,28.5561624,77.0999578,1708.831798512529
Multiple carriers,New Delhi,Cochin,11:25,19:15,7h 50m,1 stop,8625,5,27,Indira Gandhi International Airport,Cochin International Airport,28.5561624,77.0999578,10.1517834,76.392958,2047.801393167946
Air India,New Delhi,Cochin,09:45,23:00,13h 15m,1 stop,8907,1,6,Indira Gandhi International Airport,Cochin International Airport,28.5561624,77.0999578,10.1517834,76.392958,2047.801393167946
IndiGo,Kolkata,Banglore,20:20,22:55,2h 35m,non-stop,4174,4,18,Netaji Subhas Chandra Bose International Airport,Kempegowda International Airport,22.6531496,88.4448719,13.1986348,77.7065928,1546.505336564626
Air India,Chennai,Kolkata,11:40,13:55,2h 15m,non-stop,4667,6,24,Chennai International Airport,Netaji Subhas Chandra Bose International Airport,12.994112,80.1708668,22.6531496,88.4448719,1384.9877849632587
Jet Airways,Kolkata,Banglore,21:10,09:20 10 May,12h 10m,1 stop,9663,9,5,Netaji Subhas Chandra Bose International Airport,Kempegowda International Airport,22.6531496,88.4448719,13.1986348,77.7065928,1546.505336564626
IndiGo,Kolkata,Banglore,17:15,19:50,2h 35m,non-stop,4804,4,24,Netaji Subhas Chandra Bose International Airport,Kempegowda International Airport,22.6531496,88.4448719,13.1986348,77.7065928,1546.505336564626
Air India,New Delhi,Cochin,16:40,19:15 04 Mar,26h 35m,2 stops,14011,3,3,Indira Gandhi International Airport,Cochin International Airport,28.5561624,77.0999578,10.1517834,76.392958,2047.801393167946
